Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;Ano;Mês;Ordem mês;Chegadas
Ásia;5;Japão;122;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
Ásia;5;República da Coreia;184;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
Ásia;5;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
Europa;6;Alemanha;4;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;15
Europa;6;Áustria;15;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;1
Europa;6;Bélgica;21;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;4
Europa;6;Dinamarca;57;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
Europa;6;Espanha;67;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;7
Europa;6;Finlândia;73;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
Europa;6;França;74;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
Europa;6;Grécia;81;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
Europa;6;Holanda;92;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;7
Europa;6;Hungria;94;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
Europa;6;Reino Unido;182;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;12
Europa;6;Irlanda;117;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
Europa;6;Itália;120;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
Europa;6;Noruega;164;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;1
Europa;6;Polônia;177;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;1
Europa;6;Portugal;179;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;5
Europa;6;República Tcheca;187;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
Europa;6;Rússia;190;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;5
Europa;6;Suécia;215;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;2
Europa;6;Suíça;216;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;9
Europa;6;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;1
Oceania;7;Austrália;14;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;1
Oceania;7;Nova Zelândia;166;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
Oceania;7;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
Continente não especificado;8;Países não especificados;999;Mato Grosso do Sul;12;Terrestre;2;2013;setembro;9;0
África;1;África do Sul;2;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;1
África;1;Angola;6;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;0
África;1;Cabo Verde;35;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;0
África;1;Nigéria;162;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;0
África;1;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;1
América Central e Caribe;2;Costa Rica;53;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;0
América Central e Caribe;2;Cuba;55;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;2
América Central e Caribe;2;Guatemala;84;Mato Grosso do Sul;12;Terrestre;2;2013;outubro;10;0
